Iteração,MSE_Treino,MSE_Validação
1,0.29320044367323367,0.2638496131631149
2,0.2551089328209135,0.2519405862128709
3,0.25070918882568943,0.25100147059778044
4,0.25035987419418376,0.2509123270316921
5,0.2503128054380535,0.25088527997028404
6,0.2502889353887959,0.25086355507615044
7,0.25026736873754546,0.25084251663931834
8,0.25024617955775147,0.2508216406631122
9,0.25022510268985687,0.250800836209219
10,0.2502040845163983,0.2507800820999751
11,0.25018311154013856,0.2507593723854938
12,0.2501621796726574,0.25073870487200917
13,0.25014128719827605,0.2507180783279413
14,0.25012043301314363,0.2506974917719004
15,0.2500996161731833,0.25067694428895715
16,0.25007883577722667,0.2506564349830538
17,0.250058090936723,0.2506359629646437
18,0.25003738076786086,0.25061552734745157
19,0.2500167043894967,0.2505951272476084
20,0.24999606092258383,0.2505747617833919
21,0.24997544948999773,0.2505544300751291
22,0.24995486921645801,0.2505341312451406
23,0.24993431922847661,0.25051386441769447
24,0.24991379865431557,0.25049362871896413
25,0.24989330662394513,0.2504734232769852
26,0.24987284226900217,0.2504532472216171
27,0.24985240472275022,0.25043309968449845
28,0.24983199312003815,0.2504129797990084
29,0.24981160659725915,0.25039288670022436
30,0.24979124429231206,0.2503728195248824
31,0.24977090534455992,0.2503527774113361
32,0.24975058889479032,0.2503327594995162
33,0.24973029408517464,0.2503127649308902
34,0.24971002005923063,0.25029279284842343
35,0.24968976596177986,0.25027284239653613
36,0.24966953093891037,0.25025291272106776
37,0.2496493141379365,0.25023300296923434
38,0.2496291147073592,0.25021311228959
39,0.2496089317968286,0.2501932398319869
40,0.249588764557103,0.2501733847475363
41,0.24956861214001197,0.2501535461885709
42,0.24954847369841532,0.2501337233086027
43,0.24952834838616827,0.25011391526228766
44,0.24950823535807817,0.2500941212053847
45,0.24948813376987036,0.2500743402947174
46,0.24946804277814813,0.25005457168813616
47,0.24944796154035467,0.25003481454447996
48,0.24942788921473563,0.2500150680235373
49,0.24940782496030095,0.24999533128600882
50,0.2493877679367865,0.24997560349346912
51,0.24936771730461985,0.24995588380832917
52,0.24934767222487603,0.24993617139379837
53,0.2493276318592491,0.24991646541384646
54,0.24930759537000666,0.24989676503316863
55,0.24928756191995866,0.24987706941714313
56,0.24926753067241594,0.24985737773179975
57,0.24924750079115718,0.2498376891437784
58,0.24922747144039015,0.24981800282029504
59,0.2492074417847144,0.24979831792910248
60,0.2491874109890867,0.24977863363845562
61,0.24916737821878296,0.24975894911707322
62,0.2491473426393625,0.24973926353410292
63,0.24912730341663128,0.24971957605908326
64,0.24910725971660808,0.24969988586190833
65,0.24908721070548454,0.24968019211279097
66,0.24906715554959222,0.24966049398222742
67,0.24904709341536643,0.24964079064096167
68,0.24902702346930966,0.24962108125994717
69,0.24900694487795594,0.24960136501031416
70,0.24898685680783725,0.24958164106333247
71,0.24896675842544444,0.24956190859037525
72,0.24894664889719612,0.24954216676288601
73,0.24892652738940077,0.24952241475233977
74,0.24890639306822124,0.2495026517302112
75,0.24888624509964305,0.24948287686793721
76,0.2488660826494367,0.24946308933688285
77,0.24884590488312125,0.2494432883083068
78,0.24882571096593498,0.24942347295332543
79,0.24880550006279553,0.2494036424428776
80,0.24878527133826825,0.24938379594769308
81,0.24876502395653163,0.2493639326382544
82,0.24874475708134064,0.24934405168476456
83,0.24872446987599578,0.24932415225711146
84,0.2487041615033071,0.249304233524835
85,0.24868383112555983,0.24928429465709162
86,0.24866347790448098,0.24926433482262103
87,0.2486431010012066,0.2492443531897119
88,0.24862269957624542,0.24922434892616835
89,0.24860227278944794,0.24920432119927471
90,0.24858181979997088,0.24918426917576472
91,0.2485613397662448,0.24916419202178522
92,0.24854083184593986,0.24914408890286385
93,0.248520295195933,0.24912395898387557
94,0.2484997289722743,0.2491038014290087
95,0.2484791323301544,0.2490836154017321
96,0.2484585044238719,0.24906340006476327
97,0.24843784440679823,0.24904315458003326
98,0.24841715143134727,0.249022878108654
99,0.24839642464894024,0.2490025698108873
100,0.24837566320997637,0.24898222884610996
101,0.24835486626379571,0.24896185437278148
102,0.24833403295865,0.2489414455484124
103,0.24831316244166962,0.2489210015295312
104,0.24829225385883025,0.2489005214716511
105,0.24827130635492115,0.24888000452923897
106,0.24825031907351258,0.24885944985568256
107,0.24822929115692485,0.24883885660325777
108,0.24820822174619425,0.24881822392309708
109,0.24818710998104368,0.24879755096515707
110,0.24816595499984812,0.2487768368781881
111,0.2481447559396047,0.24875608080969935
112,0.2481235119359005,0.24873528190592936
113,0.24810222212287916,0.24871443931181467
114,0.24808088563321332,0.24869355217095657
115,0.2480595015980692,0.2486726196255895
116,0.24803806914707657,0.2486516408165516
117,0.24801658740829838,0.2486306148832514
118,0.24799505550819834,0.24860954096363738
119,0.2479734725716102,0.24858841819416555
120,0.247951837721706,0.24856724570977057
121,0.24793015007996655,0.24854602264383213
122,0.24790840876614942,0.24852474812814584
123,0.24788661289825695,0.24850342129289124
124,0.2478647615925079,0.2484820412666012
125,0.24784285396330605,0.24846060717613083
126,0.24782088912320788,0.24843911814662775
127,0.2477988661828935,0.2484175733015
128,0.24777678425113592,0.24839597176238684
129,0.2477546424347706,0.24837431264912743
130,0.24773243983866558,0.24835259507972993
131,0.24771017556568933,0.24833081817034303
132,0.24768784871668317,0.2483089810352229
133,0.24766545839042908,0.24828708278670542
134,0.24764300368362083,0.2482651225351745
135,0.24762048369083253,0.24824309938903305
136,0.24759789750449115,0.2482210124546719
137,0.24757524421484378,0.24819886083644022
138,0.24755252290993038,0.2481766436366153
139,0.24752973267555176,0.248154359955375
140,0.24750687259524196,0.24813200889076353
141,0.24748394175023725,0.24810958953866602
142,0.24746093921944634,0.2480871009927764
143,0.24743786407942342,0.24806454234456807
144,0.247414715404335,0.24804191268326575
145,0.24739149226593324,0.24801921109581376
146,0.24736819373352575,0.24799643666684937
147,0.24734481887394652,0.2479735884786701
148,0.24732136675152672,0.24795066561120782
149,0.24729783642806513,0.24792766714199677
150,0.2472742269627995,0.2479045921461454
151,0.24725053741237776,0.24788143969630777
152,0.2472267668308284,0.2478582088626541
153,0.2472029142695323,0.2478348987128396
154,0.24717897877719266,0.24781150831197984
155,0.24715495939980822,0.24778803672261768
156,0.24713085518064162,0.2477644830046964
157,0.24710666516019417,0.2477408462155303
158,0.24708238837617402,0.24771712540977542
159,0.24705802386346948,0.24769331963940272
160,0.2470335706541193,0.24766942795366614
161,0.24700902777728553,0.24764544939907607
162,0.24698439425922325,0.24762138301937103
163,0.24695966912325346,0.24759722785548743
164,0.2469348513897351,0.24757298294553162
165,0.24690994007603367,0.2475486473247519
166,0.24688493419649765,0.24752422002550972
167,0.24685983276242524,0.24749970007725008
168,0.24683463478204057,0.24747508650647526
169,0.24680933926046203,0.24745037833671352
170,0.2467839451996763,0.24742557458849368
171,0.2467584515985085,0.2474006742793151
172,0.2467328574525954,0.2473756764236185
173,0.24670716175435672,0.24735058003275942
174,0.24668136349296732,0.24732538411497945
175,0.24665546165432828,0.24730008767537734
176,0.24662945522104077,0.24727468971588093
177,0.24660334317237506,0.24724918923521852
178,0.24657712448424635,0.2472235852288922
179,0.2465507981291831,0.24719787668914703
180,0.24652436307630116,0.24717206260494592
181,0.24649781829127568,0.24714614196193918
182,0.2464711627363124,0.2471201137424354
183,0.24644439537012103,0.24709397692537727
184,0.24641751514788596,0.2470677304863095
185,0.24639052102123882,0.24704137339735227
186,0.24636341193823091,0.2470149046271728
187,0.246336186843305,0.2469883231409579
188,0.24630884467726782,0.24696162790038384
189,0.24628138437726138,0.24693481786359053
190,0.24625380487673637,0.24690789198515156
191,0.24622610510542292,0.2468808492160471
192,0.2461982839893042,0.24685368850363537
193,0.2461703404505865,0.24682640879162382
194,0.2461422734076734,0.24679900902004182
195,0.24611408177513636,0.24677148812521194
